Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
Math Constant Hunter,CCCCCCCCDD,24,-5,10,2.4,-0.5,0,TRUE,8,6,2,1,1,5,1,2,0,0,1,0,0,1
Naive Prober: 0.1,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
MEM2,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
"Michaelos: (D,)",CCDCCDCCCD,26,0,10,2.6,0,0,TRUE,7,5,2,2,1,4,1,0,2,2,0,0,0,1
Mikkelson,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
MoreGrofman,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
More Tideman and Chieruzzi,CCDCCDDCCC,27,0,10,2.7,0,0,TRUE,7,4,3,3,0,4,0,0,2,2,1,0,0,1
Negation,CDCDDCDDDD,32,20,10,3.2,2,1,TRUE,3,3,0,4,3,0,3,0,0,0,4,2,0,0
Nice Average Copier,CCCDCCCDCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,3,2,2,0,2,0,0,0,1
"N Tit(s) For M Tat(s): 3, 2",CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Nydegger,CCDCDCCCCC,24,-5,10,2.4,-0.5,0,TRUE,8,6,2,1,1,5,1,0,1,1,0,1,0,1
"Omega TFT: 3, 8",CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
Once Bitten,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Opposite Grudger,DCCCCCCCCC,23,-10,10,2.3,-1,0,FALSE,9,6,3,1,0,6,0,2,0,1,0,0,0,1
$\pi$,CDCCCCCDCD,25,0,10,2.5,0,0,TRUE,7,6,1,1,2,3,3,1,0,1,0,1,0,1
Predator,CDDDCDCDDD,33,20,10,3.3,2,1,TRUE,3,2,1,5,2,0,2,0,1,2,3,0,1,0
Prober,DCCCCDCCCC,25,-5,10,2.5,-0.5,0,FALSE,8,5,3,2,0,5,0,1,1,2,0,0,0,1
Prober 2,DCCCCCCCCC,23,-10,10,2.3,-1,0,FALSE,9,6,3,1,0,6,0,2,0,1,0,0,0,1
Prober 3,DCDCCDCCCC,27,0,10,2.7,0,0,FALSE,7,4,3,3,0,4,0,0,2,3,0,0,0,1
Prober 4,CCDCDDDCCD,29,10,10,2.9,1,1,TRUE,5,4,1,3,2,2,2,0,1,2,1,0,1,0
Pun1,DCDCCCCCCC,25,-5,10,2.5,-0.5,0,FALSE,8,5,3,2,0,5,0,1,1,2,0,0,0,1
PSO Gambler 1_1_1,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
PSO Gambler 2_2_2,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
PSO Gambler 2_2_2 Noise 05,CCCDDCDDDD,31,15,10,3.1,1.5,1,TRUE,4,3,1,4,2,1,2,1,0,0,4,1,0,0
PSO Gambler Mem1,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Punisher,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
Raider,DDCDDCDDDD,34,25,10,3.4,2.5,1,FALSE,2,2,0,5,3,0,2,0,0,0,5,2,0,0
Random: 0.5,DCDDCCDCDC,31,10,10,3.1,1,1,FALSE,5,2,3,5,0,0,2,1,1,4,1,0,0,0
Random Hunter,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Random Tit for Tat: 0.5,CCCCCDCCDC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,4,1,1,1,2,0,0,0,1
Remorseful Prober: 0.1,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
Resurrection,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
Retaliate: 0.1,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
Retaliate 2: 0.08,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
Retaliate 3: 0.05,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
Revised Downing: True,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
RichardHufford,CCDCCDCDCD,28,5,10,2.8,0.5,1,TRUE,6,4,2,3,1,2,2,0,2,3,0,0,0,0
Ripoff,DCCCCDCCCC,25,-5,10,2.5,-0.5,0,FALSE,8,5,3,2,0,5,0,1,1,2,0,0,0,1
Risky QLearner,CCDCCCCCCC,23,-10,10,2.3,-1,0,TRUE,9,6,3,1,0,6,0,1,1,1,0,0,0,1
Rowsam,CCCCCDCDCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,4,1,1,1,2,0,0,0,1
SelfSteem,CCDDCDCCCC,27,0,10,2.7,0,0,TRUE,7,4,3,3,0,4,0,0,2,2,1,0,0,1
ShortMem,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Shubik,CCDCCDDCCC,27,0,10,2.7,0,0,TRUE,7,4,3,3,0,4,0,0,2,2,1,0,0,1
Slow Tit For Two Tats 2,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Sneaky Tit For Tat,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
Soft Grudger,CCDDDDCCCC,28,5,10,2.8,0.5,1,TRUE,6,4,2,3,1,4,0,0,1,1,2,0,1,0
Soft Joss: 0.9,CCDCCCCCCC,23,-10,10,2.3,-1,0,TRUE,9,6,3,1,0,6,0,1,1,1,0,0,0,1
SolutionB1,DDCCCCCCCC,24,-5,10,2.4,-0.5,0,FALSE,8,6,2,1,1,6,0,1,0,0,1,1,0,1
SolutionB5,DCDCCDCCCC,27,0,10,2.7,0,0,FALSE,7,4,3,3,0,4,0,0,2,3,0,0,0,1
