Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
"Bush Mosteller: 0.5, 0.5, 3.0, 0.5",DDDDDDDDDD,30,25,10,3,2.5,1,FALSE,0,0,0,5,5,0,0,0,0,0,5,0,4,0
Calculator,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Cautious QLearner,CCCCDCDCCC,17,-15,10,1.7,-1.5,0,TRUE,8,5,3,0,2,4,1,1,1,0,0,2,0,1
Cave,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Champion,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
Colbert,CCCCCDCCCC,16,-20,10,1.6,-2,0,TRUE,9,5,4,0,1,5,0,2,1,0,0,1,0,1
CollectiveStrategy,CDDDDDDDDD,28,20,10,2.8,2,1,TRUE,1,1,0,4,5,0,1,0,0,0,4,0,4,0
Contrite Tit For Tat,CCCDCDDDCC,21,-5,10,2.1,-0.5,0,TRUE,6,3,3,2,2,3,0,0,2,2,0,0,2,1
Cooperator,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
Cooperator Hunter,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
Cycle Hunter,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
Cycler CCCCCD,CCCCCDCCCC,16,-20,10,1.6,-2,0,TRUE,9,5,4,0,1,5,0,2,1,0,0,1,0,1
Cycler CCCD,CCCDCCCDCC,19,-15,10,1.9,-1.5,0,TRUE,8,3,5,2,0,3,0,2,2,2,0,0,0,1
Cycler CCD,CCDCCDCCDC,19,-10,10,1.9,-1,0,TRUE,7,4,3,1,2,2,2,1,1,1,0,2,0,1
Cycler DC,DCDCDCDCDC,22,0,10,2.2,0,0,FALSE,5,3,2,2,3,0,3,0,1,2,0,3,0,1
Cycler DDC,DDCDDCDDCD,26,10,10,2.6,1,1,FALSE,3,1,2,4,3,0,1,0,2,2,2,1,1,0
Cycler CCCDCD,CCCDCDCCCD,19,-10,10,1.9,-1,0,TRUE,7,4,3,1,2,3,1,1,2,1,0,1,0,1
Davis: 10,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
"DBS: 0.75, 3, 4, 3, 5",CCCCCCCDCD,18,-15,10,1.8,-1.5,0,TRUE,8,4,4,1,1,3,1,3,1,1,0,0,0,1
Defector,DDDDDDDDDD,30,25,10,3,2.5,1,FALSE,0,0,0,5,5,0,0,0,0,0,5,0,4,0
Defector Hunter,CCCCCCCCCC,15,-25,10,1.5,-2.5,0,TRUE,10,5,5,0,0,5,0,4,0,0,0,0,0,1
Desperate,DDDCDCDCDD,25,10,10,2.5,1,1,FALSE,3,2,1,3,4,0,2,0,1,0,3,3,0,0
