Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
"ZD-Extort-4: 0.23529411764705882, 0.25, 1",CDDDCCDDDD,18,0,10,1.8,0,0,TRUE,3,1,2,2,5,1,0,0,2,1,1,0,4,1
"ZD-GTFT-2: 0.25, 0.5",CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
"ZD-GEN-2: 0.125, 0.5, 3",CCDDCCCDCC,13,-20,10,1.3,-2,0,TRUE,7,2,5,1,2,2,0,2,2,1,0,1,1,1
ZD-Mem2,CCCDCCDDDC,15,-15,10,1.5,-1.5,0,TRUE,6,1,5,2,2,1,0,2,2,2,0,0,2,1
"ZD-Mischief: 0.1, 0.0, 1",CCDDDDDDDD,20,5,10,2,0.5,1,TRUE,2,0,2,3,5,0,0,1,1,0,3,0,4,0
"ZD-SET-2: 0.25, 0.0, 2",CDCDDDDDCC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,0,2,2,2,1
$e$,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Dynamic Two Tits For Tat,CDDDCCCDCC,14,-15,10,1.4,-1.5,0,TRUE,6,2,4,1,3,2,0,1,2,1,0,1,2,1
"Memory Decay: 0.1, 0.03, -2, 1, Tit For Tat, 15",CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Meta Hunter: 6 players,CCCCCCCCDD,12,-25,10,1.2,-2.5,0,TRUE,8,2,6,1,1,2,0,5,1,0,1,0,0,1
Meta Hunter Aggressive: 7 players,CCCCCCCCDD,12,-25,10,1.2,-2.5,0,TRUE,8,2,6,1,1,2,0,5,1,0,1,0,0,1
Meta Majority: 209 players,CDDDCCDDDD,18,0,10,1.8,0,0,TRUE,3,1,2,2,5,1,0,0,2,1,1,0,4,1
Meta Majority Memory One: 34 players,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Meta Majority Finite Memory: 78 players,CDDDDCDDDD,20,5,10,2,0.5,1,TRUE,2,0,2,3,5,0,0,0,2,1,2,0,4,0
Meta Majority Long Memory: 131 players,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Meta Minority: 209 players,DCCCDDCCCC,13,-20,10,1.3,-2,0,FALSE,7,2,5,1,2,1,1,4,0,0,1,2,0,1
Meta Mixer: 209 players,CCCCDDDDDC,16,-10,10,1.6,-1,0,TRUE,5,1,4,2,3,0,1,3,0,1,1,0,3,1
Meta Winner: 209 players,CCCCCCDDCD,12,-20,10,1.2,-2,0,TRUE,7,3,4,0,3,2,1,3,1,0,0,1,1,1
Meta Winner Deterministic: 144 players,CCCCCCDDCD,12,-20,10,1.2,-2,0,TRUE,7,3,4,0,3,2,1,3,1,0,0,1,1,1
Meta Winner Ensemble: 209 players,CCDDCDDDDD,18,0,10,1.8,0,0,TRUE,3,1,2,2,5,0,1,1,1,1,1,0,4,1
Meta Winner Memory One: 34 players,CCDDCDDDDD,18,0,10,1.8,0,0,TRUE,3,1,2,2,5,0,1,1,1,1,1,0,4,1
Meta Winner Finite Memory: 78 players,CCCCCCDDDD,14,-15,10,1.4,-1.5,0,TRUE,6,2,4,1,3,2,0,3,1,0,1,0,2,1
Meta Winner Long Memory: 131 players,CCCDCCCDCD,13,-20,10,1.3,-2,0,TRUE,7,2,5,1,2,1,1,3,2,1,0,1,0,1
Meta Winner Stochastic: 65 players,CCDDCDDDDD,18,0,10,1.8,0,0,TRUE,3,1,2,2,5,0,1,1,1,1,1,0,4,1
NMWE Deterministic: 144 players,CDDDCDDDDD,19,5,10,1.9,0.5,1,TRUE,2,1,1,2,6,0,1,0,1,1,1,0,5,0
NMWE Finite Memory: 78 players,CCDDCDDDDD,18,0,10,1.8,0,0,TRUE,3,1,2,2,5,0,1,1,1,1,1,0,4,1
NMWE Long Memory: 131 players,CDDDDDDDDD,21,10,10,2.1,1,1,TRUE,1,0,1,3,6,0,0,0,1,0,3,0,5,0
NMWE Memory One: 34 players,CDDDCDDDDC,18,0,10,1.8,0,0,TRUE,3,1,2,2,5,0,1,0,1,2,0,0,5,1
NMWE Stochastic: 65 players,CDDDDCDDDD,20,5,10,2,0.5,1,TRUE,2,0,2,3,5,0,0,0,2,1,2,0,4,0
Nice Meta Winner: 209 players,CCCCCCDDCD,12,-20,10,1.2,-2,0,TRUE,7,3,4,0,3,2,1,3,1,0,0,1,1,1
Nice Meta Winner Ensemble: 209 players,CCDDCCCDDD,16,-10,10,1.6,-1,0,TRUE,5,1,4,2,3,1,0,2,2,1,1,0,2,1
